    SDSSID            arrloc redshift ebmv   ha_sfr oha_sfr_cor 2_sfr  nuv_sfr  fuv_sfr  L_fuv(ergs/s)  o3_sig  sig_stars
    587725073921409255    0   0.300   0.133    9.02   12.45     6.69     7.74     7.44  1.042E+44   77.519  450.000
    588848899919446344    3   0.225   0.083    3.65    4.47     1.86     1.62     1.32  1.851E+43   66.630  450.000
    587725576962244831    9   0.347   0.214   14.89   24.98     8.28   -99.00   -99.00 -9.900E+01  100.133  264.021
    587731187273892048   14   0.277   0.143    7.85   11.11     6.52     6.57     7.09  9.930E+43   85.445  450.000
    587731513693503653   17   0.304   0.095   11.29   14.22     9.04     7.67     7.80  1.093E+44  103.220  450.000
    587724233716596882   22   0.280   0.118   10.05   13.37     8.06    12.66    10.95  1.534E+44   91.203  450.000
    587727179006148758   27   0.165   0.000    8.72    8.72     3.15   -99.00   -99.00 -9.900E+01   77.210  450.000
    587724241767825591   28   0.162   0.052   10.08   11.44     7.50   -99.00   -99.00 -9.900E+01   80.298  256.127
    587724240158589061   29   0.261   0.101   22.69   28.96    17.60    10.38    14.28  2.000E+44  115.692  450.000
    587726032778559604   32   0.303   0.047    7.81    8.75     5.65     8.09     9.61  1.345E+44   95.473  450.000
    587726032253419628   33   0.239   0.000   25.24   25.24    17.70   -99.00   -99.00 -9.900E+01   90.860  314.650
    588010360138367359   43   0.219   0.121    4.92    6.60     3.51   -99.00   -99.00 -9.900E+01   70.290  380.659
    587726102030451047   48   0.231   0.107    7.58    9.83     4.10   -99.00   -99.00 -9.900E+01   89.048  450.000
    587729155743875234   49   0.241   0.050    4.81    5.43     2.94    11.21    11.51  1.612E+44   68.321  450.000
    587728919520608387   54   0.230   0.126    9.43   12.80     5.86    10.17    10.32  1.445E+44   89.587  350.847
    587729229297090692   56   0.214   0.187    4.02    6.32     2.53     5.33     3.13  4.387E+43   61.488  238.627
    587725818034913419   57   0.294   0.000   16.81   16.81    13.75    19.63    24.95  3.495E+44  102.387  450.000
    587730774416883967   62   0.294   0.113   18.85   24.78    16.31   -99.00   -99.00 -9.900E+01   89.567  440.991
    587730774965354630   63   0.214   0.000    3.32    3.32     1.85   -99.00   -99.00 -9.900E+01   70.471  140.998
    587728906099687546   66   0.273   0.216   34.91   58.83    27.17     7.91    14.55  2.038E+44  116.713  450.000
    587725550133444775   67   0.334   0.000    3.76    3.76     3.93     8.41     9.07  1.270E+44   70.775   40.954
    588009371762098262   68   0.205   0.139    3.99    5.59     2.09     2.92     2.83  3.960E+43   75.997   19.940
    588011122502336742   69   0.262   0.327    5.90   13.02     2.69   -99.00     4.87  6.815E+43   83.560  320.857
    588011103712706632   74   0.279   0.241   13.33   23.88     8.14     4.17     7.67  1.075E+44  107.461  378.759
    588013384341913605   79   0.181   0.030   13.33   14.35     9.15    12.85    11.09  1.554E+44  109.178  450.000
    587732134315425958   80   0.348   0.121   17.31   23.17    10.14    26.18    22.86  3.202E+44  108.973  450.000
    587729777439801619   81   0.274   0.221    5.05    8.63     2.91   -99.00   -99.00 -9.900E+01   76.573  450.000
    587729777446945029   82   0.294   0.125   14.92   20.22     5.67    10.23    11.49  1.609E+44   96.910  175.880
    587732152555864324   84   0.155   0.098    2.57    3.26     1.02   -99.00   -99.00 -9.900E+01   26.190  438.742
    587732578845786234   90   0.253   0.085    4.92    6.04     3.67   -99.00     4.06  5.682E+43   64.003  450.000
    587733080270569500   91   0.253   0.075   23.03   27.59    15.60    18.53    25.76  3.608E+44  116.610  450.000
