       SDSSID          z      BPT Type     F_Ha     Ha_s/n       F_Hb    Hb_s/n      F_NII   NII_s/N      FOIII  OIII_S/N      F_SII   SII_S/N       F_OI    OI_S/N
  587725073921409255   0.300    SB         395.2     86.15      119.8     35.27       40.7      8.93      451.5    130.18       41.7      5.42        7.2      1.65
  588848899919446344   0.225    SB         307.6     89.05       98.5     38.49       17.2      4.70      574.7    205.92       23.5      4.09        5.9      1.69
  587725576962244831   0.347    SB         465.7     77.70      129.2     29.11       32.4      4.94      727.2    145.81       35.4      2.97        8.7      1.38
  587731187273892048   0.277    SB         414.2     85.69      124.2     34.68       36.5      7.16      537.4    138.70       47.6      5.93       11.1      2.28
  587731513693503653   0.304    SB         479.1     64.68      151.4     27.60       59.4      7.81      570.1     98.58       46.3      3.75       10.4      1.43
  587724233716596882   0.280    SB         517.0    103.82      159.4     43.21       53.3     10.07      603.7    149.91       53.7      5.59       13.3      2.63
  587727179006148758   0.165    SB        1472.9    250.33      518.3    118.91       43.8      7.59     2985.9    680.12       49.3      5.65       10.9      1.98
  587724241767825591   0.162    SB        1769.6    366.14      586.5    163.82      142.9     29.86     2925.0    803.86      149.9     18.82       36.2      7.91
  587724240158589061   0.261    SB        1373.4    170.32      431.4     72.23      138.6     16.47     1762.8    275.40      152.6     10.35       35.1      4.36
  587726032778559604   0.303    SB         335.5     58.34      111.8     26.25       25.9      4.17      521.7    110.49       34.5      3.73        5.6      0.94
  587726032253419628   0.239    SB        1854.3    305.57      664.6    147.85      103.6     16.42     3863.1    804.95      151.9     14.92       39.8      6.59
  588010360138367359   0.219    SB         440.4    151.15      135.3     62.69       20.9      6.34      781.5    312.38       36.1      6.61       10.2      3.25
  587726102030451047   0.231    SB         602.1    119.21      187.8     50.19       36.2      6.30     1050.2    240.50       50.0      4.47        9.6      1.75
  587729155743875234   0.241    SB         346.9    108.97      115.2     48.86       16.6      4.67      695.5    256.96       25.0      4.19        5.6      1.65
  587728919520608387   0.230    SB         758.5    154.01      231.7     63.50       44.8      8.57     1212.8    305.14       63.6      6.90       15.8      3.17
  587729229297090692   0.214    SB         379.3    164.04      108.4     63.28       19.7      7.15      718.3    342.85       27.6      6.35        6.5      2.45
  587725818034913419   0.294    SB         770.4    116.01      423.9     86.17      111.7     16.32      751.3    144.37       97.5      8.57       19.2      2.93
  587730774416883967   0.294    SB         868.9    185.07      269.3     77.44       49.7      8.67     1305.8    299.83       89.8      8.99       20.4      3.72
  587730774965354630   0.214    SB         316.0     99.86      116.0     49.48       21.0      6.32      600.9    238.23       24.1      4.30        5.6      1.75
  587728906099687546   0.273    SB        1897.1    243.10      525.3     90.88      246.8     27.48     2214.5    324.20      228.5     15.26       52.3      6.09
  587725550133444775   0.334    SB         129.0     44.75       65.5     30.69        9.1      3.22      395.7    183.68       12.1      2.34        2.7      0.99
  588009371762098262   0.205    SB         417.7    136.77      125.8     55.59       23.0      6.73      718.3    276.19       25.0      4.48        5.7      1.76
