objid,ra,raerr,dec,decerr,type,clean,mode,psfmag_u,psfmagErr_u,psfmag_g,psfmagErr_g,psfmag_r,psfmagErr_r,psfmag_i,psfmagErr_i,psfmag_z,psfmagErr_z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,petroRad_r,specObjID,bestObjID,Sourcetype,class,subclass,z,zerr,zwarning,mjd,plate,fiberID
1237648705129611672,219.104480626638,0.0130139645999868,0.635955005294855,0.0121853021795456,0,0,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.1710803,0.1333046,0.09221953,0.06852899,0.05097298,2.969339,345769496801208320,1237648705129611672,SERENDIPITY_DISTANT,GALAXY,STARBURST,0.3276791,7.764337E-06,0,51663,307,430
1237648720174711098,220.52252045457,0.0103077586757034,-0.880160035795032,0.0105628804924255,6,1,1,20.1597,0.03976788,19.98486,0.01961246,19.45858,0.02018754,20.09628,0.03162749,19.46925,0.06329165,0.1743723,0.1358697,0.09399402,0.06984763,0.0519538,1.548321,346852790615697408,1237648720174711098,SERENDIPITY_DISTANT,GALAXY,STARBURST,0.2823173,8.916592E-06,0,51662,308,275
1237648720674292261,135.345049431114,0.0182224423617419,-0.471903500696594,0.0172801511449078,6,1,1,21.5668,0.1229957,21.20079,0.04395288,20.46167,0.02895614,20.76481,0.05069807,21.28259,0.2993531,0.1509549,0.117623,0.08137108,0.06046743,0.04497666,1.344972,529240608544417792,1237648720674292261,SERENDIPITY_DISTANT,GALAXY,null,0.1873612,1.082821E-05,0,51929,470,246
1237648720674291912,135.356143535632,0.00213664894667185,-0.462400292795672,0.00231254911620006,6,1,1,18.66231,0.01868461,17.75725,0.019458,17.41543,0.01152971,17.32846,0.01310696,17.25236,0.01880118,0.1533157,0.1194626,0.08264367,0.0614131,0.04568006,1.17556,4298813480486543360,1237648720674291912,STD,STAR,F0IV (81937),0.000842072,8.849868E-06,0,55532,3818,464
1237648721228005666,173.748341769844,0.0152885163555513,-0.0178402325157867,0.0121474558593107,3,1,1,21.24618,0.07433724,20.84019,0.03013661,20.26801,0.02428937,20.56376,0.04337088,21.1239,0.2180826,0.09368045,0.07299517,0.05049772,0.03752522,0.02791187,1.41319,317639316354394112,1237648721228005666,SERENDIPITY_DISTANT,GALAXY,STARBURST,0.2408977,8.376998E-06,0,51658,282,493
1237648721237508405,195.546461671313,0.0260498185783421,-0.0879159631937052,0.0208926444526671,3,1,1,21.4995,0.1128225,21.0889,0.03692443,20.29185,0.0306627,20.51276,0.04417947,20.67319,0.1625484,0.08945701,0.0697043,0.04822111,0.03583345,0.02665351,1.741626,329907392739305472,1237648721237508405,SERENDIPITY_DISTANT,GALAXY,STARBURST,0.2254775,8.884802E-06,0,51689,293,68
1237648721244324236,210.97657306093,0.0145939463635893,-0.189251726888676,0.0141644867014556,6,1,1,21.11015,0.06906883,20.58721,0.02775395,20.15767,0.02809874,20.5675,0.03976269,19.76774,0.07987489,0.2119463,0.1651471,0.114248,0.08489852,0.06314891,1.429199,338906075023566848,1237648721244324236,SERENDIPITY_DISTANT,GALAXY,STARBURST,0.3375096,8.103889E-06,0,51942,301,37
1237648721255203367,235.905440640431,0.0286343976351228,-0.102234541782564,0.0228038055048397,3,1,1,21.15293,0.07453785,20.91261,0.02860904,20.43587,0.02946452,20.91699,0.06006963,20.50398,0.1530362,0.40165,0.3129629,0.2165063,0.1608874,0.1196707,1.811596,385145482562791424,1237648721255203367,SERENDIPITY_DISTANT,GALAXY,null,0.3489664,7.588395E-06,0,51691,342,319
1237648722298077312,165.31829936043,0.00867495850959567,0.804061943023479,0.00686313872089986,6,1,1,20.52237,0.04585795,20.28827,0.02105602,19.4507,0.01697691,19.91508,0.02890441,20.59299,0.1528352,0.1123468,0.0875399,0.06055969,0.04500234,0.03347348,1.249824,311998276142393344,1237648722298077312,SERENDIPITY_DISTANT,GALAXY,STARBURST,0.2128565,9.863353E-06,0,51908,277,451
1237649920574292130,10.2328733409905,0.00799783082809461,15.5636354636704,0.00751893279972369,3,1,1,19.45274,0.03433991,18.75364,0.02086971,17.86708,0.02027328,17.51147,0.0229848,17.43413,0.02114198,0.2764304,0.2153927,0.1490076,0.1107287,0.08236177,4.928569,470764180253730816,1237649920574292130,QSO,QSO,BROADLINE,0.09890411,2.600668E-05,0,51817,418,502
1237649920574292233,10.2263630757502,0.0231414351467056,15.5693516927718,0.021100164767581,6,1,1,21.57534,0.122946,20.89238,0.03426949,20.0187,0.03079304,21.03847,0.08499051,19.94952,0.08681297,0.2755671,0.21472,0.1485423,0.1103829,0.08210457,1.902981,471844176590301184,1237649920574292233,SERENDIPITY_MANUAL,GALAXY,STARBURST,0.2832319,9.767767E-06,0,51879,419,335
1237649961383493869,54.9491479346944,0.00735808829077611,-7.42812438244213,0.00589964287106335,6,1,1,19.58022,0.03184508,19.24642,0.02206177,18.83765,0.01900413,19.15355,0.01958556,18.85335,0.05166034,0.2622805,0.2043672,0.1413803,0.1050607,0.07814587,1.368475,520226262128551936,1237649961383493869,QSO,GALAXY,STARBURST,0.2607237,7.914718E-06,0,51909,462,220
1237649962992730261,51.5567890082141,0.00768514419678018,-6.58681439956449,0.00668825795486982,6,1,1,19.85793,0.03892193,19.59229,0.02460205,18.94786,0.02391999,19.2536,0.02247846,19.43815,0.08566193,0.2619067,0.2040759,0.1411788,0.104911,0.07803449,1.442669,518076717147908096,1237649962992730261,QSO,GALAXY,STARBURST,0.1620332,8.975679E-06,0,51924,460,592
1237650795146314138,146.242613781721,0.0156153013777026,-0.762638327556643,0.016972719133434,3,1,1,20.63414,0.05924051,20.34154,0.02340768,19.92876,0.02412127,20.31778,0.03765934,19.85113,0.08331182,0.2673581,0.2083236,0.1441173,0.1070946,0.07965872,1.723504,299514966212372480,1237650795146314138,SERENDIPITY_DISTANT,GALAXY,STARBURST,0.3002294,8.640142E-06,0,51630,266,93
1237651065204179170,176.991056188513,0.0202747379599499,63.9250018897039,0.0197053245004024,6,1,1,20.7365,0.06313493,20.73977,0.03208131,20.35448,0.02955405,20.51365,0.04928063,20.19473,0.1095188,0.109506,0.08532631,0.05902835,0.04386439,0.03262705,1.423683,673355803113056256,1237651065204179170,SERENDIPITY_DISTANT,GALAXY,STARBURST,0.3506429,7.908618E-06,0,52316,598,246
1237651066815381767,179.95647810532,0.0175109835487909,65.2912154144588,0.0177750000474228,3,1,1,21.31851,0.1027,20.85618,0.03232154,20.24741,0.02742878,21.07865,0.07570501,20.25897,0.1411915,0.06073281,0.04732259,0.03273755,0.02432751,0.0180952,1.329803,673453109892114432,1237651066815381767,SERENDIPITY_DISTANT,GALAXY,null,0.3012387,8.834866E-06,0,52316,598,600
1237651067351073064,173.265798146818,0.0108323219073329,65.2281612270686,0.00971438954023352,3,1,1,20.27214,0.04551821,20.20501,0.02581738,19.79847,0.02185749,20.11364,0.03086144,20.1016,0.1046907,0.04631498,0.03608832,0.02496573,0.01855222,0.01379944,1.350538,672288722766555136,1237651067351073064,SERENDIPITY_DISTANT,GALAXY,STARBURST,0.2414122,8.359221E-06,0,52059,597,460
1237651225174082112,260.040925397542,0.0210017048669107,54.3591986824616,0.0213073660539882,6,1,1,21.12928,0.0736755,20.98993,0.03291687,20.51885,0.02994738,21.15165,0.07153068,20.50554,0.1711584,0.1100958,0.08578589,0.05934628,0.04410065,0.03280278,1.872945,413239659053737984,1237651225174082112,STAR_WHITE_DWARF,GALAXY,STARBURST,0.29377,7.334518E-06,0,51997,367,125
1237651249891967264,203.266444603037,0.0198940843986489,62.7677057142604,0.0202673711763121,6,1,1,20.93041,0.07273455,20.77946,0.03214399,20.11726,0.04218762,20.99634,0.07008702,20.2771,0.1157498,0.08258908,0.06435286,0.04451901,0.03308239,0.02460722,1.770644,678931147337525248,1237651249891967264,SERENDIPITY_DISTANT,GALAXY,null,0.31816,1.57023E-05,0,52056,603,49
1237651250949783674,133.413686731852,0.00725554684677233,52.9499403216397,0.00725043746973854,3,1,1,19.61293,0.02697319,19.30877,0.02236207,19.0189,0.02930886,19.04031,0.03084249,18.89946,0.05168687,0.0908931,0.0708233,0.04899523,0.0364087,0.02708139,1.888649,505609904153716736,1237651250949783674,QSO,GALAXY,null,0.2762807,1.257508E-05,0,51900,449,294
1237651252026605838,141.64690202516,0.0162204432534365,58.3464736081122,0.0164082693997428,6,1,1,20.89861,0.06560924,20.71409,0.03196669,20.07509,0.02502327,20.41477,0.04503871,20.49546,0.166856,0.1552493,0.1209692,0.08368593,0.06218761,0.04625616,1.511955,509013167704139776,1237651252026605838,SERENDIPITY_DISTANT,GALAXY,STARBURST,0.2270721,1.377688E-05,0,51911,452,387
1237651271358349509,156.563364222544,0.0219143990317282,63.5523590893163,0.0220059807766063,6,1,1,21.06585,0.09892533,20.82752,0.04220962,20.11917,0.03311279,21.61207,0.1528933,20.35975,0.1690893,0.03596654,0.02802488,0.01938748,0.01440698,0.01071614,1.656271,869307192992360448,1237651271358349509,SERENDIPITY_DISTANT,GALAXY,STARBURST,0.3337608,9.298811E-06,0,52375,772,409
1237651271358677189,158.43355116908,0.0136951623540769,63.888111209131,0.0131003899419326,6,0,1,19.88883,0.03663589,19.86594,0.02130282,19.42901,0.01954638,20.07849,0.04127231,19.42641,0.07588565,0.03957281,0.03083487,0.02133142,0.01585153,0.01179063,1.576601,550598621930743808,1237651271358677189,SERENDIPITY_BLUE,GALAXY,STARBURST,0.3467169,1.014314E-05,0,51930,489,122
1237651298187149842,261.776373540396,0.0176557403418513,59.8172665282198,0.0169974294627588,6,1,1,20.56531,0.06529282,20.35153,0.02383974,19.89484,0.02308048,20.53023,0.05311768,19.82451,0.1005068,0.1074046,0.08368894,0.05789562,0.04302265,0.03200095,1.841422,398591961709176832,1237651298187149842,STAR_WHITE_DWARF,GALAXY,STARBURST,0.3470999,9.303567E-06,0,51792,354,85
1237651496294548059,119.315602371963,0.0196477991775883,45.3605533251323,0.0210575510401979,6,1,1,21.42523,0.1107325,21.18617,0.04280538,20.43442,0.03174838,21.27185,0.08460019,20.76705,0.2146447,0.2505963,0.1952629,0.135082,0.1003804,0.07466456,3.997541,491026531393497088,1237651496294548059,SERENDIPITY_DISTANT,GALAXY,STARBURST,0.2877653,8.8276E-06,0,51883,436,488
1237651538721046835,228.507174827877,0.0185023959400492,60.0290267963244,0.0181687695066805,6,1,1,21.41898,0.09144136,21.07326,0.03753676,20.45237,0.03062785,20.78108,0.05330053,21.22229,0.2902936,0.04133359,0.03220685,0.02228055,0.01655684,0.01231524,1.385514,690297078760368128,1237651538721046835,SERENDIPITY_DISTANT,GALAXY,STARBURST,0.1668423,8.01073E-06,0,52345,613,438
1237651539259818109,235.209140792922,0.00583683365562782,57.4116462524101,0.00583424100690748,3,0,1,19.45119,0.03042307,19.23561,0.01926081,18.96221,0.01607856,19.28757,0.01961701,18.82667,0.04349561,0.03624677,0.02824324,0.01953854,0.01451923,0.01079964,1.515026,694780057964537856,1237651539259818109,QSO,GALAXY,STARBURST,0.2944454,8.529313E-06,0,52072,617,363
1237651735763288282,194.380794821588,0.0162066654195788,1.9332755165792,0.0156507719684002,6,1,1,21.25231,0.1158823,20.72745,0.03461896,20.05494,0.02705663,20.46351,0.04653197,20.025,0.1278789,0.09250348,0.07207809,0.04986329,0.03705376,0.02756119,1.345178,588889665734469632,1237651735763288282,SERENDIPITY_DISTANT,GALAXY,STARBURST,0.2522183,1.004619E-05,0,52026,523,160
1237651735774232823,219.517512210502,0.00989398641423328,1.55931778452034,0.0103194002816279,6,1,1,20.25806,0.05625523,20.03083,0.02140214,19.46157,0.01985742,20.06588,0.03593391,19.51026,0.0788919,0.1955681,0.1523853,0.1054195,0.07833796,0.05826905,1.411919,603528288635217920,1237651735774232823,SERENDIPITY_DISTANT,GALAXY,STARBURST,0.3123739,9.343412E-06,0,52024,536,167
1237651753480093864,195.12205740417,0.0219547048225484,2.25080006607418,0.022951411275041,6,1,1,21.10439,0.09432271,21.15149,0.0434324,20.5054,0.03768927,21.41669,0.1040553,20.59103,0.1972129,0.09125271,0.07110349,0.04918906,0.03655275,0.02718853,1.378729,588863552333309952,1237651753480093864,SERENDIPITY_DISTANT,GALAXY,STARBURST,0.2719748,1.087523E-05,0,52026,523,65
1237651754003464395,164.319696122849,0.0157041578356339,2.53527926756106,0.0166588484866304,6,1,1,20.40044,0.07026602,20.29251,0.02909159,19.91925,0.02763982,20.33385,0.04573114,19.74412,0.1189454,0.1480822,0.1153847,0.07982258,0.05931673,0.04412075,1.48732,571004740205307904,1237651754003464395,SERENDIPITY_DISTANT,GALAXY,STARBURST,0.3026931,9.272241E-06,0,52353,507,631
1237651754024304896,211.917005890554,0.0102013514371031,2.29671443994793,0.010570564954298,3,1,1,21.83994,0.172036,20.86675,0.03552383,19.48914,0.02151744,19.67929,0.02836065,18.96819,0.04997626,0.1332583,0.1038339,0.07183183,0.05337875,0.03970398,1.598716,599115398197045248,1237651754024304896,SERENDIPITY_FIRST,QSO,AGN BROADLINE,0.3094858,2.398767E-05,0,51993,532,497
1237651822717829655,235.284922336914,0.0176919018018348,3.34151484837183,0.0172738666596184,6,1,1,21.06223,0.09188013,20.6777,0.03112463,19.87327,0.02504237,20.78944,0.06252322,20.04129,0.1358176,0.2536158,0.1976157,0.1367096,0.1015899,0.07556423,1.696386,668884634532079616,1237651822717829655,SERENDIPITY_DISTANT,GALAXY,STARBURST,0.3100609,6.911275E-06,0,52045,594,364
1237652600109597131,338.573036826274,0.0218792496172929,-8.67131649387737,0.0223681538885058,6,1,1,22.04408,0.234498,21.53367,0.06100952,20.45537,0.03334892,21.05684,0.07571121,21.15674,0.3233237,0.2179827,0.1698506,0.1175019,0.0873165,0.06494743,1.315852,812995152686639104,1237652600109597131,SERENDIPITY_DISTANT,GALAXY,null,0.193414,1.139163E-05,0,52224,722,347
