objid,ra,raerr,dec,decerr,type,clean,mode,psfmag_u,psfmagErr_u,psfmag_g,psfmagErr_g,psfmag_r,psfmagErr_r,psfmag_i,psfmagErr_i,psfmag_z,psfmagErr_z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,petroRad_r,specObjID,bestObjID,Sourcetype,class,subclass,z,zerr,zwarning,mjd,plate,fiberID
1237648705122140311,202.038072283119,0.0155666169276943,0.509923313916684,0.0135406366837377,6,1,1,21.0799,0.07093518,20.85759,0.04120064,20.37303,0.03536621,20.83967,0.09879842,20.15494,0.1125053,0.1171744,0.09130147,0.06316193,0.04693609,0.03491183,1.293016,4560135509695766528,1237648705122140311,QSO,GALAXY,STARBURST,0.3208568,9.600458E-06,0,55599,4050,876
1237651190282125708,127.298908415986,0.0790699056153092,47.6980774882426,0.0775415064102173,6,1,1,21.9296,0.1769142,22.17758,0.1033115,21.79906,0.1008054,22.16507,0.1789727,22.53695,0.6566502,0.175363,0.1366416,0.09452805,0.07024447,0.05224898,1.313969,8239349379443433472,1237651190282125708,SEQUELS_TARGET,GALAXY,null,0.3319765,1.411402E-05,0,56990,7318,50
1237651272964505804,137.9872733657,0.0364149107934194,58.7408809987137,0.0362529119870751,6,1,1,21.22405,0.108424,21.09982,0.04372628,20.67152,0.04581279,21.25025,0.1003357,20.93571,0.3250181,0.152774,0.1190404,0.08235162,0.06119609,0.04551864,1.702699,9230286439442259968,1237651272964505804,QSO,GALAXY,STARBURST,0.2820796,1.233017E-05,0,57374,8198,578
1237651274029006983,115.848114898276,0.0545036128597891,42.5565654335235,0.0488441356674295,6,1,1,23.85606,1.875263,22.09116,0.083253,21.54749,0.07529055,21.94178,0.2227132,21.20811,0.259174,0.2373038,0.1849055,0.1279168,0.09505586,0.0707041,1.262662,9333926405308653568,1237651274029006983,QSO,GALAXY,STARFORMING,0.1413018,3.598364E-05,0,57364,8290,786
1237651533875380304,138.04741048441,0.0672830831385235,57.8044592453347,0.0678775914325899,6,1,1,22.85231,0.5150599,22.50154,0.1440436,21.42882,0.08634887,21.84579,0.2408931,21.54435,0.6661927,0.1189567,0.09269024,0.06412268,0.04765002,0.03544286,1.425701,9230236136785289216,1237651533875380304,QSO,GALAXY,null,0.2969073,3.194638E-05,0,57374,8198,395
1237652600649023571,344.495327739661,0.0121421692606702,-8.62437973578095,0.0122977410589646,6,1,1,20.25312,0.05268917,19.9123,0.02568814,19.52042,0.02380344,19.76181,0.03149664,19.32031,0.06736265,0.1503664,0.1171645,0.08105383,0.06023169,0.04480131,1.679614,815310449800144896,1237652600649023571,SERENDIPITY_DISTANT,GALAXY,STARBURST,0.3080631,9.542159E-06,0,52254,724,578
1237652900238590146,63.0388359806895,0.00837486180489179,-5.67528293159993,0.00837901033079492,6,1,1,19.24653,0.02917874,19.18418,0.01630285,19.30096,0.02115562,19.51937,0.02765862,19.47514,0.08756965,0.3105698,0.2419939,0.1674102,0.1244038,0.09253354,1.255755,523548161650747392,1237652900238590146,HOT_STD,QSO,null,0.2697714,0.0001651185,4,51910,465,17
1237653613718864127,131.682186769187,0.0347805965149269,49.3812433026353,0.0347613847476061,6,1,1,21.93056,0.188363,21.9131,0.07288021,21.23074,0.0579858,21.49906,0.124343,21.05185,0.4117011,0.09342334,0.07279482,0.05035913,0.03742223,0.02783526,1.234503,8231469180412469248,1237653613718864127,SEQUELS_TARGET,GALAXY,STARBURST,0.2618031,9.0801E-06,0,57038,7311,54
1237656569185829053,312.524809737732,0.0630640135770378,0.55923382106896,0.0574352696612803,3,0,1,22.86489,3.142809,21.90427,3.566695,21.56289,6.552013,24.16076,1.627973,21.38627,6.521591,0.3766395,0.293475,0.2030246,0.1508691,0.1122189,2.969708,1150823403888863232,1237656569185829053,NONLEGACY,GALAXY,STARBURST,0.2004136,4.098717E-05,0,52524,1022,559
1237657190909149450,8.93830739357958,0.0270335365733482,-0.0939667779393782,0.0225522262867641,6,1,1,21.92046,0.1477957,21.66047,0.05464552,21.05387,0.04137288,22.08724,0.1315817,21.11326,0.2347328,0.09364514,0.07296766,0.05047869,0.03751108,0.02790135,1.187002,8858667720876466176,1237657190909149450,QSO,GALAXY,STARBURST,0.3269543,1.122587E-05,0,57006,7868,317
